OBJECTID,PLAN_NO,BHC_TYPE,BHC_VALUE,SHAPE_Leng,Shape__Area,Shape__Length
2792,S/K22/6,BHCB,100,248.250519321,4363.69921875,269.015883534595
2793,S/K22/6,BHCB,100,232.044075484,3876.333984375,251.451165343977
2794,S/K22/6,BHCB,100,238.282545071,3882.32421875,258.213573881016
2795,S/K22/6,BHCB,100,232.005559599,3780.505859375,251.496328938986
2796,S/K22/6,BHCB,100,187.34049287,2136.9453125,203.106448918487
2797,S/K22/6,BHCB,100,250.587914057,4448.341796875,271.542716982978
2798,S/K22/6,BHCB,100,234.025829201,3953.119140625,253.595803066581
2799,S/K22/6,BHCB,65,298.240221725,5666.037109375,322.9519780694
2800,S/K22/6,BHCB,110,364.194087782,8222.51953125,394.219456875122
2801,S/K22/6,BHCB,125,447.762639454,12335.185546875,485.170201447064
2802,S/K22/6,BHCB,15,278.257747433,4327.169921875,301.078469534581
2803,S/K22/6,BHCB,15,79.9215318603,318.974609375,86.5767974997736
2804,S/K22/6,BHCB,15,133.522693151,867.89453125,144.595525078784
2805,S/K22/6,BHCB,15,282.04921574,3023.4609375,305.586480736348
2806,S/K22/6,BHCB,15,68.7955271985,259.82421875,74.5546648207589
2807,S/K22/6,BHCB,15,309.293356365,5342.498046875,335.439926038756
2808,S/K22/6,BHCB,15,153.85972865,1312.296875,166.765916222737
2809,S/K22/6,BHCB,100,592.249098509,26030.935546875,642.208045063475
2810,S/K22/6,BHCB,15,451.628946553,7485.349609375,488.646133139255
2811,S/K22/6,BHCB,15,199.326600896,1873.44921875,215.843833689689
2812,S/K22/6,BHCB,45,405.762647349,4738.98046875,439.685212695628
2813,S/K22/6,BHCB,15,101.171700101,319.478515625,109.623722784816
2814,S/K22/6,BHCB,100,363.181239055,8589.060546875,394.004322530054
2815,S/K22/6,BHCB,15,381.162288593,8869.748046875,412.918071467251
2816,S/K22/6,BHCB,100,604.153122678,19889.94140625,654.641104723465
2817,S/K22/6,BHCB,45,517.526491424,15512.20703125,561.596902336034
2818,S/K22/6,BHCB,100,451.704109393,14078.052734375,489.360150840664
2819,S/K22/6,BHCB,15,224.505965954,3639.486328125,243.277206003221
2820,S/K22/6,BHCB,15,249.825701604,4115.384765625,270.955525057162
2821,S/K22/6,BHCB,40,352.613779317,8247.58984375,382.363003154843
2822,S/K22/6,BHCB,40,448.595958654,13794.412109375,486.337462602251
2823,S/K22/6,BHCB,15,537.708933862,16420.9453125,582.536523365629
2824,S/K22/6,BHCB,15,245.080826966,3307.53515625,265.426009679923
2825,S/K22/6,BHCB,100,258.685739268,4828.216796875,280.411547117299
2826,S/K22/6,BHCB,100,240.621181791,4095.92578125,260.755976950099
2827,S/K22/6,BHCB,50,226.043006923,3643.66015625,244.943964497418
2828,S/K22/6,BHCB,15,472.910680838,11750.787109375,513.327487284817
2829,S/K22/6,BHCB,110,373.158997072,8140.033203125,404.307612812249
2830,S/K22/6,BHCB,110,396.069148585,9648.380859375,429.120204333986
2831,S/K22/6,BHCB,95,401.1925686,9082.39453125,434.689833219607
2832,S/K22/6,BHCB,95,415.65390717,11102.40625,450.35418721949
2833,S/K22/6,BHCB,95,400.113692946,9067.802734375,433.502593490835
2834,S/K22/6,BHCB,95,430.346034443,11073.890625,466.377516237707
2835,S/K22/6,BHCB,108,524.957330977,13272.4375,568.772007505071
2836,S/K22/6,BHCB,110,246.999434423,4286.732421875,267.656807408374
2837,S/K22/6,BHCB,110,214.835384011,3326.302734375,232.767102334196
2838,S/K22/6,BHCB,110,243.60457138,4268.96484375,264.023039396852
2839,S/K22/6,BHCB,110,223.697995513,3644.08203125,242.407117089167
2840,S/K22/6,NBA,NBA,191.732573785,2217.5234375,208.020064218472
2841,S/K22/6,NBA,NBA,267.557905515,4720.439453125,289.702436677437
2842,S/K22/6,NBA,NBA,326.544814823,1793.578125,353.236717999726
2843,S/K22/6,NBA,NBA,203.71150447,347.35546875,220.751634560015
2844,S/K22/6,NBA,NBA,356.286547747,616.908203125,386.070342856864
2845,S/K22/6,NBA,NBA,356.285159516,616.966796875,386.069929735618
2846,S/K22/6,NBA,NBA,356.285141914,616.8984375,386.070059796467
2847,S/K22/6,NBA,NBA,356.285133397,616.953125,386.071036635222
2848,S/K22/6,NBA,NBA,346.749382465,599.271484375,375.729843807725
2849,S/K22/6,NBA,NBA,343.347280133,593.751953125,372.033585711178
2850,S/K22/6,NBA,NBA,343.889150227,594.830078125,372.631521695002
2851,S/K22/6,NBA,NBA,771.642135519,2360.1484375,836.182738456788
2852,S/K22/6,NBA,NBA,777.473339295,2427.513671875,842.470936355583
2853,S/K22/6,NBA,NBA,744.449964727,2580.67578125,806.772740622992
2854,S/K22/6,NBA,NBA,923.461060711,2695.142578125,1000.69650670722
2855,S/K22/6,NBA,NBA,957.964716972,3208.287109375,1038.29400166918
2856,S/K22/6,NBA,NBA,851.236647298,2937.2578125,922.338846250578
2857,S/K22/6,NBA,NBA,847.756093285,2571.109375,918.636619516838
2858,S/K22/6,NBA,NBA,651.613842141,2643.9921875,706.049696997644
2859,S/K22/6,NBA,NBA,833.624125871,2674.69921875,903.727335895001
2860,S/K22/6,NBA,NBA,127.159153029,342.099609375,138.07168912944
2861,S/K22/6,NBA,NBA,258.830443048,1393.56640625,279.999602949905
2862,S/K22/6,NBA,NBA,145.535092768,396.478515625,158.007755646232
2863,S/K22/6,NBA,NBA,902.106723872,2597.55859375,977.564452525373
2864,S/K22/6,NBA,NBA,900.457933594,2597.62109375,975.697661837095
2865,S/K22/6,NBA,NBA,931.311062564,2732.763671875,1009.17731073598
2866,S/K22/6,NBA,NBA,396.430672999,2430.283203125,429.519435060673
2867,S/K22/6,NBA,NBA,36.185756031,51.78125,39.1984030117859
2868,S/K22/6,NBA,NBA,407.124693999,1723.5546875,441.114342164656
2869,S/K22/6,NBA,NBA,62.511402097,99.03515625,67.7184892358316
2870,S/K22/6,NBA,NBA,303.61121055,2422.373046875,328.959118222265
2871,S/K22/6,NBA,NBA,36.1646288152,51.755859375,39.2016924799794
2872,S/K22/6,NBA,NBA,441.654271766,1922.048828125,478.528799501762
2873,S/K22/6,NBA,NBA,294.390020667,2258.88671875,318.876483198551
2874,S/K22/6,NBA,NBA,35.9737738755,51.416015625,38.9679379136319
2875,S/K22/6,NBA,NBA,280.132504217,1480.716796875,303.553597045876
2876,S/K22/6,NBA,NBA,416.41133322,3052.29296875,451.201595406468
