OBJECTID,PLAN_NO,ZONE_LABEL,DESC_ENG,DESC_CHT,SPUSE_ENG,SPUSE_CHT,SHAPE_Leng,Shape__Area,Shape__Area_2,Shape__Length_2
2608,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,747.487229531,22620.314453125,22620.314453125,810.061595962667
2609,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,1436.1157883,30101.14453125,30101.14453125,1557.2593765779
2610,S/H8/26,O,Open Space,休憩用地, , ,2014.87890734,213535.13671875,213535.13671875,2182.29392057172
2611,S/H8/26,C,Commercial,商業, , ,448.319207433,7138.810546875,7138.810546875,484.934281354766
2612,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,151.425797916,1346.40234375,1346.40234375,164.251864862145
2613,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,74.6099503932,424.337890625,424.337890625,80.8362159685141
2614,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,300.697835699,5064.609375,5064.609375,325.749586368529
2615,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,179.278820039,2079.2109375,2079.2109375,194.246010666435
2616,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,357.856993575,6391.29296875,6391.29296875,388.240757673668
2617,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,131.025994714,840.26171875,840.26171875,141.81659446513
2618,S/H8/26,R(B),Residential (Group B),住宅(乙類), , ,558.654209949,11114.755859375,11114.755859375,605.408108410649
2619,S/H8/26,C,Commercial,商業, , ,201.573101391,2964.166015625,2964.166015625,218.237222246105
2620,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,508.627792835,13691.546875,13691.546875,551.603104567452
2621,S/H8/26,O,Open Space,休憩用地, , ,101.689013598,419.583984375,419.583984375,110.035426814989
2622,S/H8/26,R(B)1,Residential (Group B) 1,住宅(乙類)1, , ,1115.71379963,36560,36560,1207.42366003637
2623,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,185.115835406,2508.63671875,2508.63671875,200.562052304713
2624,S/H8/26,OU,Other Specified Uses,其他指定用途,SEWAGE TREATMENT PLANT,污水淨化廠,342.108629834,8024.5703125,8024.5703125,370.550078439347
2625,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,114.085013951,556.548828125,556.548828125,123.807285536408
2626,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,185.123640698,2330.70703125,2330.70703125,200.41600180709
2627,S/H8/26,O,Open Space,休憩用地, , ,142.128391013,816.220703125,816.220703125,154.082955749118
2628,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,279.860070587,4860.697265625,4860.697265625,303.245923211769
2629,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,308.004301688,5378.244140625,5378.244140625,333.718621436571
2630,S/H8/26,O,Open Space,休憩用地, , ,282.247454533,4089.943359375,4089.943359375,305.810007197489
2631,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,903.0782629,27178.134765625,27178.134765625,978.223193299223
2632,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,98.1991764912,703.56640625,703.56640625,106.358875717824
2633,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,119.2146606,1085.43359375,1085.43359375,129.103184793597
2634,S/H8/26,O,Open Space,休憩用地, , ,288.862754064,4039.78125,4039.78125,312.964319368571
2635,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,474.069650631,15520.796875,15520.796875,513.257406239913
2636,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,262.927574856,4033.203125,4033.203125,284.492107055191
2637,S/H8/26,R(A)3,Residential (Group A) 3,住宅(甲類)3, , ,538.941743648,16220.59375,16220.59375,583.981157144032
2638,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,129.755988257,1177.865234375,1177.865234375,140.650211695725
2639,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,163.490152845,2052.595703125,2052.595703125,177.211620811909
2640,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,650.293726104,11791.193359375,11791.193359375,704.036316599448
2641,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,595.168968637,20669.75,20669.75,644.727873176933
2642,S/H8/26,C/R(2),Commercial / Residential (2),商業 / 住宅(2), , ,467.271357579,14562.5390625,14562.5390625,506.206688011441
2643,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,521.767917903,14864.935546875,14864.935546875,565.251956088577
2644,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,348.019598234,6751.8515625,6751.8515625,376.550757287285
2645,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,276.097784853,5001.232421875,5001.232421875,298.827202644208
2646,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,321.207596531,5563.44921875,5563.44921875,348.426760293331
2647,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,369.977887411,9935.40625,9935.40625,400.720519254374
2648,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,479.62920724,9045.419921875,9045.419921875,518.694899875805
2649,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,188.015508744,2041.341796875,2041.341796875,203.790409978216
2650,S/H8/26,O,Open Space,休憩用地, , ,160.592947753,944.279296875,944.279296875,174.114535197831
